invoice_code	invoice_no
1200212130	03586025
1200212130	03586012
1200212130	03585982
1200212130	03588504
1200212130	03587511
1200212130	03587493
1200212130	03588308
1200212130	03585622
051002000611	72647320
1200212130	03588140
3400211130	12898461
013001610011	41049481
046001900111	52298700
1200212130	03585243
1200212130	03587886
011002100211	51510718
012002000104	14472033
031002100204	26154831
046001900111	52211018
037002100104	20895471
1200214130	10370769
4403214130	03052015
1200212130	03587323
1200212130	03587322
045002000111	45064679
1200212130	03586351
1200212130	03586310
1200212130	03586296
1200212130	08304067
1200212130	03589949
1200212130	03589000
1200212130	03588991
1200212130	03589669
1200212130	03589429
012002000311	15504840
1200212130	08305614
1200212130	08312970
1200212130	08312830
1200212130	08312766
012002000511	02020143
1200222130	03915368
035002100111	59711947
035002200211	26386300
050002200111	15396967
031002200211	45605363
031002100611	23083780
011002200911	85841612
022002100111	41610069
032002200511	13679659
011002200911	55556395
011002200911	55556394
051002200211	12763722
023002200111	08001434
041002100211	52988905
033002200411	47143511
1200202130	01961490
1200202130	01961123
1200203130	00391936
2100194130	04525987
1200203130	08569328
1200203130	08569294
1200203130	08569252
1200203130	08568768
011002000711	01590792
1200204130	04829805
1200203130	08571506
1200203130	08571394
1200203130	08573393
1200203130	08573297
1200203130	08572557
042002100111	03555435
1200192130	01961936
1200192130	01961436
1200213130	07081328
1200212130	03586079
1200212130	03588501
1200212130	03587498
1200212130	03588420
1200212130	03588118
1200212130	03585281
1200212130	03585259
3700204130	16423357
041002000211	96828563
041002000211	96828561
1200212130	03584326
044032000211	13887535
032002100811	37482621
1200212130	03587309
1100211130	20921509
1200212130	03586895
1200212130	03586748
1200212130	03588679
1200212130	03586629
1200212130	03588646
1200212130	03586407
1200212130	03586382
1200212130	08304092
1200212130	08304061
1200212130	03589971
1200212130	03589851
1200212130	03589636
1200212130	08305697
1200212130	08313470
1200212130	08305630
1200212130	08305428
1200212130	08312947
1200212130	08312851
1200212130	08312832
1200212130	08312798
1200212130	08312769
1200212130	08312759
1200212130	08305286
1200212130	08305280
1200212130	08305148
1200212130	03589391
031002000111	46002272
011002200911	55489428
044002200511	10608653
011002200811	86125424
031002200211	45605388
041002200211	26195854
013002200211	18584195
037022100211	07610492
033002200411	43764856
035002200211	20710781
044002200511	80579311
051002200211	14852568
046002100111	69351519
050002200111	06360830
011002200911	55518569
032002200211	05269424
011002200811	35285362
1200194130	05444473
1200202130	01961241
012001800111	74906439
1200203130	08571667
1200203130	08569242
1200203130	08568742
1200203130	03054153
012002000311	76639408
042001800311	85017233
1200204130	04827860
032001900304	42588281
1200203130	08573407
012002000411	06333192
1200203130	08572630
1200203130	08572599
1200204130	04829662
1200204130	04829657
1200204130	04829656
1200204130	04826959
1200204130	04830028
1200204130	04829064
1200204130	04828082
1200204130	04828056
1200204130	04828011
1200204130	04829877
1200192130	01961971
1200192130	01961923
1200213130	07081347
1200212130	03586111
1200212130	03586094
1200212130	03588434
1200212130	03588399
1200212130	03588293
012002000511	02020032
051002000611	72647318
1200212130	03588155
1200212130	03588077
4403211130	00574056
2100203130	06279543
1200212130	03585236
011002100311	02713406
042002100211	48152151
051002000104	10803974
013002030011	38906808
1200212130	03587893
011002100211	51510722
031002000611	20845054
1200212130	03584303
1200212130	03584301
1200212130	03587372
1200212130	03587347
1200212130	03587312
1200212130	03587284
1200212130	03586936
043002100111	14494845
1200212130	03586879
1200212130	03586766
1200212130	03588715
1200212130	03588667
1200212130	03586656
1200212130	03586640
1200212130	03586634
1200212130	03588650
1200212130	03586543
1200212130	03586380
1200212130	03586349
1200212130	03586348
031002100211	41362465
1200212130	03589973
1200212130	03589891
1200212130	03589811
1200212130	03589790
1200212130	03589543
1200212130	03589434
1200212130	08313834
1200212130	08305738
1200212130	08312984
1200212130	08312976
1200212130	08312971
1200212130	08312912
1200212130	08312870
1200212130	08312859
1200212130	08312774
012002000511	02020123
035002200211	17568858
043002200111	20366520
035002100111	92559157
032002200211	05269422
044032200211	07395367
022002100111	41610067
037022000311	74812683
044002200511	10608656
051002200111	76917907
044032200211	21360679
011002200911	61767913
037002200111	81188796
1200202130	01961754
1200202130	01961238
1200202130	01961190
1200202130	01961166
042001800311	85017214
1200203130	08568962
012002000411	22036055
1200203130	08569589
1200203130	08571500
1200203130	08571253
1200203130	08571238
